file,artist,genre,style
Realism/vincent-van-gogh_pine-trees-in-the-fen-1884.jpg,22,133,161
Baroque/rembrandt_the-angel-appearing-to-the-shepherds-1634.jpg,20,136,144
Post_Impressionism/paul-cezanne_portrait-of-the-artist-s-son.jpg,16,135,160
Impressionism/pierre-auguste-renoir_young-girl-seated-in-a-meadow-1916.jpg,17,131,152
Romanticism/ivan-aivazovsky_morning-1851.jpg,9,139,163
Art_Nouveau_Modern/boris-kustodiev_meeting-easter-day-1917.jpg,1,131,143
Realism/vincent-van-gogh_vase-with-asters-and-phlox-1886.jpg,22,139,161
Romanticism/ivan-aivazovsky_night-in-the-ukraine-1871.jpg,9,133,163
Northern_Renaissance/albrecht-durer_deposition-engraved-passion-1512.jpg,25,136,157
Realism/john-singer-sargent_leon-delafosse.jpg,11,135,161
Romanticism/ivan-aivazovsky_rush-on-dnepr-near-aleshki-1857.jpg,9,133,163
Symbolism/nicholas-roerich_patrol-1905.jpg,14,131,164
Symbolism/nicholas-roerich_remember-1945.jpg,14,133,164
Realism/boris-kustodiev_portrait-of-the-painter-ivan-bilibin-1901.jpg,1,135,161
Impressionism/pierre-auguste-renoir_young-woman-with-crane-1886.jpg,17,135,152
Naive_Art_Primitivism/marc-chagall_still-life-with-bouquet-1962.jpg,12,138,155
Realism/vincent-van-gogh_peasant-woman-with-shawl-over-her-head-seen-from-the-side-1885.jpg,22,137,161
Romanticism/gustave-dore_the-sculptures.jpg,7,132,163
Romanticism/ivan-aivazovsky_lunar-night-at-the-spring-1877.jpg,9,133,163
Romanticism/gustave-dore_farinata.jpg,7,132,163
Baroque/rembrandt_sick-woman-with-a-large-white-headdress-saskia.jpg,20,137,144
Realism/pyotr-konchalovsky_in-the-woods-1945.jpg,18,133,161
Impressionism/pierre-auguste-renoir_houses-in-cagnes-1908.jpg,17,130,152
Expressionism/martiros-saryan_in-the-garden-1928.jpg,13,137,149
Baroque/rembrandt_portrait-of-margeretha-de-geer-1661.jpg,20,135,144
Impressionism/claude-monet_dolceacqua-bridge.jpg,4,130,152
Symbolism/nicholas-roerich_tibet-1929.jpg,14,133,164
Expressionism/martiros-saryan_flowers-against-the-backdrop-of-carpet-1915.jpg,13,139,149
Realism/ivan-shishkin_deciduous-forest-1873.jpg,10,137,161
Realism/vincent-van-gogh_seated-male-nude-seen-from-the-back.jpg,22,134,161
Realism/vincent-van-gogh_portrait-of-a-woman-1885.jpg,22,135,161
Northern_Renaissance/albrecht-durer_apostle-bartholomew.jpg,25,136,157
Post_Impressionism/paul-cezanne_still-life-with-basket.jpg,16,138,160
Naive_Art_Primitivism/marc-chagall_self-portrait-1963.jpg,12,139,155
Expressionism/pablo-picasso_head-of-dead-woman-1902.jpg,15,135,149
Romanticism/ivan-aivazovsky_sea-view-1867.jpg,9,133,163
Naive_Art_Primitivism/marc-chagall_king-david-s-tower-1971.jpg,12,136,155
Art_Nouveau_Modern/nicholas-roerich_king-s-room-1913.jpg,14,139,143
Art_Nouveau_Modern/raphael-kirchner_deadly-sins-2.jpg,19,134,143
Baroque/rembrandt_portrait-of-clement-de-jonge-1651.jpg,20,135,144
Impressionism/pierre-auguste-renoir_still-life-with-bouquet-1871.jpg,17,138,152
Realism/ilya-repin_portrait-of-a-kalmyk-1871.jpg,8,135,161
Symbolism/nicholas-roerich_procopius-the-righteous-removes-a-cloud-of-stone-from-the-great-ustyug-1913.jpg,14,137,164
Impressionism/eugene-boudin_deauville-the-beach-low-tide.jpg,6,133,152
Impressionism/pierre-auguste-renoir_still-life-with-strawberries-2.jpg,17,138,152
Expressionism/salvador-dali_satirical-composition-the-dance-by-matisse.jpg,21,131,149
Northern_Renaissance/albrecht-durer_laughing-peasant-woman-1505.jpg,25,135,157
Post_Impressionism/paul-cezanne_house-behind-trees-on-the-road-to-tholonet-1887.jpg,16,133,160
Realism/vincent-van-gogh_peasant-woman-with-shawl-over-her-head-seen-from-the-side-2-1885.jpg,22,137,161
Post_Impressionism/pablo-picasso_the-good-derain-1910.jpg,15,131,160
Post_Impressionism/paul-cezanne_seated-woman-1895.jpg,16,135,160
Art_Nouveau_Modern/raphael-kirchner_milkmaid.jpg,19,131,143
Realism/vincent-van-gogh_garbage-dump-1883(1).jpg,22,137,161
Impressionism/salvador-dali_the-tartan-el-son.jpg,21,139,152
Post_Impressionism/paul-cezanne_in-the-woods-1885.jpg,16,133,160
Baroque/rembrandt_portrait-of-joris-de-caullery-1632.jpg,20,135,144
Realism/boris-kustodiev_venice-1907.jpg,1,130,161
Impressionism/paul-cezanne_the-orchard-1877.jpg,16,133,152
Realism/boris-kustodiev_portrait-of-a-lady-model-1908.jpg,1,134,161
Symbolism/nicholas-roerich_lahaul-1932-1.jpg,14,133,164
Northern_Renaissance/albrecht-durer_portrait-of-a-woman.jpg,25,135,157
Northern_Renaissance/albrecht-durer_the-penitent-1510.jpg,25,131,157
Romanticism/gustave-dore_invocation-to-muhammad.jpg,7,132,163
Art_Nouveau_Modern/nicholas-roerich_polovtsian-camp-1.jpg,14,139,143
Realism/john-singer-sargent_a-game-of-bowls-ightham-mote-kent-1889.jpg,11,131,161
Romanticism/ivan-aivazovsky_the-black-sea-at-night.jpg,9,139,163
Romanticism/gustave-dore_godfrey-enters-jerusalem-1877.jpg,7,132,163
Impressionism/pierre-auguste-renoir_lydia-sieligmann-1917.jpg,17,135,152
Naive_Art_Primitivism/marc-chagall_lovers-near-bridge-1948.jpg,12,131,155
Realism/ilya-repin_job-and-his-friends-1869.jpg,8,136,161
Northern_Renaissance/albrecht-durer_portrait-of-african-woman-catherine.jpg,25,135,157
Impressionism/claude-monet_sunset-on-the-seine-at-lavacourt-winter-effect.jpg,4,133,152
Realism/vincent-van-gogh_sower-1882-3.jpg,22,131,161
Symbolism/salvador-dali_tertia-die-resurrexit-1967.jpg,21,136,164
Impressionism/edgar-degas_achille-de-gas-1872.jpg,5,135,152
Impressionism/pierre-auguste-renoir_eugene-murer-1877.jpg,17,135,152
Impressionism/childe-hassam_november-cos-cob.jpg,3,130,152
Impressionism/paul-cezanne_landscape-in-provence-1875.jpg,16,133,152
Impressionism/claude-monet_rain-in-belle-ile.jpg,4,133,152
Impressionism/camille-pissarro_the-tuileries-gardens-2-1900.jpg,2,130,152
Post_Impressionism/vincent-van-gogh_the-house-of-pere-pilon-1890.jpg,22,133,160
Impressionism/claude-monet_the-pink-skiff-boating-on-the-ept.jpg,4,131,152
Romanticism/gustave-dore_the-inferno-canto-5-1.jpg,7,132,163
Symbolism/nicholas-roerich_himalayas-chain-of-kanchenjunga-1936.jpg,14,133,164
Impressionism/pierre-auguste-renoir_bouquet-of-flowers.jpg,17,139,152
Impressionism/claude-monet_zaandam.jpg,4,130,152
Impressionism/john-singer-sargent_base-of-a-palace-1904.jpg,11,130,152
Post_Impressionism/pyotr-konchalovsky_at-the-ilmen-lake-1928.jpg,18,131,160
Art_Nouveau_Modern/boris-kustodiev_view-from-the-window-1926.jpg,1,130,143
Impressionism/pierre-auguste-renoir_woman-at-the-chest-1919.jpg,17,134,152
Impressionism/paul-cezanne_the-harvesters-1878.jpg,16,131,152
Expressionism/marc-chagall_small-drawing-room-1908.jpg,12,139,149
Impressionism/edgar-degas_landscape-cows-in-the-foreground.jpg,5,133,152
Realism/ilya-repin_portrait-of-the-artist-vasily-surikov-1885.jpg,8,135,161
Impressionism/edgar-degas_houses-by-the-seaside-1869.jpg,5,133,152
Symbolism/nicholas-roerich_sharugon-monastery-1928.jpg,14,133,164
Impressionism/pablo-picasso_flower-seller-1901.jpg,15,131,152
Impressionism/camille-pissarro_chestnut-trees-at-louveciennes-1872.jpg,2,133,152
Baroque/rembrandt_self-portrait-1659-1.jpg,20,139,144
Cubism/pablo-picasso_still-life-with-the-mandolin-1924.jpg,15,138,147
Northern_Renaissance/albrecht-durer_the-great-courier-1495.jpg,25,131,157
Symbolism/nicholas-roerich_rohtang-pass-1936.jpg,14,133,164
Expressionism/pyotr-konchalovsky_still-life-melon-1912.jpg,18,138,149
Cubism/pablo-picasso_bull-plate-viii-1946.jpg,15,139,147
Post_Impressionism/salvador-dali_vilabertrin-church-tower-1919.jpg,21,133,160
Symbolism/nicholas-roerich_guri-guri-dhar-ridge-1931.jpg,14,137,164
Art_Nouveau_Modern/boris-kustodiev_russian-venus-1926-1.jpg,1,134,143
Romanticism/ivan-aivazovsky_crimean-coast-1886.jpg,9,133,163
Cubism/pablo-picasso_still-life-with-antique-bust-1925.jpg,15,138,147
Symbolism/nicholas-roerich_sadness-two-in-boat-1939.jpg,14,131,164
Post_Impressionism/vincent-van-gogh_the-fields-1890.jpg,22,133,160
Baroque/rembrandt_cupid-blowing-soap-bubbles-1634.jpg,20,139,144
Symbolism/nicholas-roerich_place-of-mahatma-s-camp-district-kuku-nor.jpg,14,133,164
